                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.54528,                0.44443,                0.93966,                  0.663,                0.40771,                0.44947,                0.35856,                0.95274,                 1.7949,                 1.2368,             0.00013437,             0.00013437,             0.00013437
                     85,                0.54147,                0.43887,                 0.9369,                 0.6036,                0.43292,                0.44373,                0.35568,                0.95741,                 1.8029,                 1.2439,             0.00012731,             0.00012731,             0.00012731
                     86,                0.53723,                0.43498,                0.93621,                0.61075,                0.42338,                0.44591,                0.35791,                0.95087,                  1.823,                 1.2422,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.5357,                0.43027,                0.93237,                0.59398,                0.42787,                0.44564,                0.35516,                0.95405,                 1.8046,                 1.2357,             0.00011317,             0.00011317,             0.00011317
                     88,                0.53028,                0.42491,                0.93005,                0.64792,                0.40998,                0.44529,                0.35808,                0.95781,                 1.8258,                 1.2463,              0.0001061,              0.0001061,              0.0001061
                     89,                0.53339,                0.42303,                0.93092,                0.60578,                0.41522,                0.44549,                0.35862,                0.95635,                 1.8263,                 1.2437,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 0.5274,                0.41762,                0.92694,                0.62826,                0.41325,                0.44888,                 0.3556,                0.95117,                 1.8041,                 1.2364,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.52354,                0.41167,                0.92712,                0.66208,                0.40873,                0.45197,                0.36188,                0.94643,                 1.8156,                  1.236,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.52579,                0.41155,                0.92397,                0.63249,                0.40844,                0.44986,                0.35966,                0.94749,                 1.8006,                  1.239,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                 0.5191,                0.40314,                0.92589,                0.65833,                0.38963,                0.44885,                0.36295,                0.94346,                  1.808,                 1.2369,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.52011,                0.40636,                0.92216,                0.59288,                0.43455,                0.45525,                0.36747,                0.93804,                 1.8007,                 1.2354,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.5122,                0.40046,                0.92179,                0.64342,                0.41778,                0.45705,                0.36687,                0.94232,                 1.7869,                 1.2348,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.51049,                0.39346,                0.92288,                0.61964,                0.41943,                0.45664,                0.36626,                0.94629,                 1.8038,                 1.2373,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.50765,                0.39111,                0.91795,                0.66705,                0.40558,                0.45352,                0.36644,                0.94171,                 1.7871,                 1.2304,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.50865,                0.39347,                0.91722,                 0.6045,                0.42726,                0.45488,                0.36802,                0.94086,                 1.7946,                 1.2309,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.50338,                0.38997,                0.91596,                0.64636,                0.40791,                0.45816,                0.37107,                0.93772,                 1.7991,                 1.2271,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.49729,                0.38303,                0.91337,                0.64557,                0.41285,                0.46109,                0.37253,                 0.9374,                 1.8081,                 1.2318,             2.1277e-05,             2.1277e-05,             2.1277e-05
